longitude,latitude,Date,pluie,neige,precip_tot,neige_au_sol,hum_rel_max,hum_rel_min,hum_rel_moy,pt_rosee,vitesse_vent_max,vitesse_vent_min,vitesse_vent_moy,visibilite_max,visibilite_min,visibilite_moy,pression_max,pression_min,pression_moy,temp_max,temp_min,temp_moy
-73.75,45.47,2007-01-01,10.6,0.0,10.6,9,95,73,86.66666666666667,0.7541666666666668,32,13,22.625,48.3,9.7,22.97916666666667,101.46,99.95,100.42833333333334,5.5,-2.9,2.7750000000000004
-73.75,45.47,2007-01-02,0.0,0.0,0.0,0,94,57,70.54166666666667,-5.095833333333334,37,9,25.416666666666668,48.3,19.3,30.400000000000002,101.79,99.87,101.1475,4.3,-2.2,-0.30416666666666686
-73.75,45.47,2007-01-03,0.0,0.0,0.0,0,87,59,71.95833333333333,-1.3875,30,19,25.25,48.3,25.0,34.70833333333333,101.7,101.03,101.35874999999997,5.5,0.2,3.2583333333333333
-73.75,45.47,2007-01-04,0.6,0.0,0.6,0,80,58,69.58333333333333,0.37499999999999983,22,0,13.5,48.3,24.1,26.679166666666674,101.09,100.55,100.90583333333332,9.6,1.4,5.55
-73.75,45.47,2007-01-05,14.2,0.0,14.2,0,100,75,96.41666666666667,6.625,17,4,10.791666666666666,25.0,1.2,7.666666666666668,100.57,100.09,100.31416666666667,9.7,4.6,7.179166666666667
-73.75,45.47,2007-01-06,9.4,0.0,9.4,0,100,76,92.0,5.954166666666667,63,4,21.416666666666668,25.0,0.6,11.554166666666667,100.61,98.91,99.66083333333334,11.3,4.2,7.229166666666665
-73.75,45.47,2007-01-07,1.0,1.0,2.8,0,80,55,66.70833333333333,-2.7375000000000003,35,4,18.208333333333332,48.3,25.0,33.7375,102.09,100.73,101.65541666666668,4.1,2.1,2.9416666666666664
-73.75,45.47,2007-01-08,9.0,2.8,13.6,3,97,74,87.5,1.1250000000000002,48,13,27.833333333333332,48.3,1.6,17.433333333333334,101.25,98.86,99.54916666666668,5.8,0.4,3.0625
-73.75,45.47,2007-01-09,0.0,0.2,0.2,0,88,63,74.29166666666667,-3.9874999999999994,39,11,26.083333333333332,48.3,9.7,31.825,100.34,99.38,99.77666666666669,1.7,-3.1,0.09583333333333327
-73.75,45.47,2007-01-10,0.0,0.4,0.2,0,89,57,66.0,-14.008333333333333,33,9,20.833333333333332,25.0,3.2,21.795833333333338,102.51,100.39,101.39541666666666,-3.5,-12.2,-8.758333333333333
-73.75,45.47,2007-01-11,0.0,0.2,0.2,0,80,60,68.16666666666667,-11.912500000000001,28,0,15.916666666666666,48.3,2.4,33.76666666666666,102.98,101.6,102.41250000000001,0.2,-12.5,-6.9875
-73.75,45.47,2007-01-12,0.6,3.8,4.4,0,98,62,90.0,1.1250000000000002,32,9,18.791666666666668,25.0,2.4,10.420833333333336,101.58,101.28,101.46125000000002,4.8,0.4,2.7000000000000006
-73.75,45.47,2007-01-13,0.0,0.0,0.0,0,98,46,66.58333333333333,-9.5375,35,9,16.625,25.0,4.8,19.916666666666668,102.62,101.22,102.1054166666667,4.4,-8.9,-3.9583333333333335
-73.75,45.47,2007-01-14,0.0,0.0,0.0,0,75,58,64.91666666666667,-11.929166666666665,15,0,8.041666666666666,48.3,24.1,27.650000000000006,102.51,102.1,102.2929166666667,-3.4,-9.0,-6.404166666666666
-73.75,45.47,2007-01-15,0.0,19.6,18.6,0,90,65,79.95833333333333,-11.179166666666665,35,9,23.458333333333332,25.0,0.4,10.199999999999998,102.37,100.53,101.32333333333332,-5.3,-9.9,-8.250000000000002
-73.75,45.47,2007-01-16,0.0,2.0,0.8,15,87,49,66.29166666666667,-18.308333333333334,26,7,17.666666666666668,48.3,2.4,21.191666666666666,102.67,100.66,101.55291666666666,-9.2,-20.2,-13.204166666666667
-73.75,45.47,2007-01-17,0.0,0.0,0.0,11,66,46,55.291666666666664,-26.5125,19,7,13.666666666666666,48.3,9.7,25.52916666666667,103.67,102.75,103.36374999999998,-15.1,-23.8,-19.770833333333332
-73.75,45.47,2007-01-18,0.0,0.0,0.0,11,87,62,72.375,-11.462499999999999,22,6,13.958333333333334,48.3,12.9,28.345833333333342,103.2,101.1,102.23041666666666,-3.5,-13.9,-7.254166666666666
-73.75,45.47,2007-01-19,0.0,1.6,1.6,10,95,72,83.41666666666667,-5.200000000000001,22,0,11.541666666666666,25.0,2.4,13.041666666666671,101.0,99.87,100.18416666666667,-1.3,-4.5,-2.745833333333333
-73.75,45.47,2007-01-20,0.0,0.2,0.2,10,78,52,62.541666666666664,-17.5125,43,20,27.375,48.3,19.3,25.39583333333334,102.18,99.9,100.94916666666667,-3.5,-16.1,-11.766666666666666
-73.75,45.47,2007-01-21,0.0,0.0,0.0,9,64,48,55.875,-22.262500000000003,24,4,14.208333333333334,48.3,25.0,35.67916666666666,102.63,101.89,102.31166666666667,-12.0,-19.2,-15.395833333333334
-73.75,45.47,2007-01-22,0.0,1.0,0.8,9,89,55,75.79166666666667,-14.704166666666667,15,0,7.291666666666667,25.0,2.0,15.166666666666664,101.8,100.68,101.16041666666665,-9.2,-12.8,-11.204166666666666
-73.75,45.47,2007-01-23,0.0,0.2,0.0,8,89,71,80.54166666666667,-10.437500000000002,20,4,12.5,48.3,4.0,21.287500000000005,100.7,100.26,100.50250000000001,-3.3,-13.3,-7.645833333333332
-73.75,45.47,2007-01-24,0.0,1.2,0.8,7,87,53,66.25,-14.145833333333334,26,11,17.5,48.3,9.7,31.141666666666666,101.31,100.22,100.9129166666667,-1.4,-16.9,-8.924999999999999
-73.75,45.47,2007-01-25,0.0,0.0,0.0,7,63,46,52.916666666666664,-24.683333333333334,22,4,14.416666666666666,25.0,24.1,24.587500000000006,101.26,100.85,101.07208333333334,-15.1,-19.2,-17.34583333333333
-73.75,45.47,2007-01-26,0.0,0.0,0.0,7,57,43,50.541666666666664,-27.450000000000014,30,9,17.291666666666668,48.3,24.1,26.60416666666667,101.27,100.92,101.07624999999997,-18.2,-21.3,-19.737499999999997
-73.75,45.47,2007-01-27,0.0,0.0,0.0,7,69,45,55.416666666666664,-23.52916666666667,20,0,11.75,25.0,16.1,24.216666666666672,101.16,100.25,100.59791666666668,-13.8,-21.0,-16.608333333333334
