stationId,nom,latitude,longitude,Élévation,Date,PM,O3,NO2,SO2
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-01,33,19,7,11
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-01,9,18,6,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-02,14,22,7,11
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-02,5,22,5,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-03,25,11,7,13
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-03,12,16,6,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-04,25,9,8,15
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-04,21,12,9,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-05,23,7,7,9
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-05,17,8,6,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-06,23,13,5,6
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-06,15,15,6,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-07,11,18,5,5
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-07,11,21,9,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-08,14,19,5,10
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-08,6,16,8,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-09,8,18,5,9
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-09,6,19,5,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-10,7,17,3,8
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-10,5,18,2,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-11,7,16,6,3
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-11,6,18,7,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-12,29,7,7,11
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-12,27,14,6,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-13,20,21,5,7
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-13,18,22,5,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-14,27,20,6,8
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-14,13,17,4,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-15,29,18,4,3
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-15,22,16,7,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-16,12,21,5,2
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-16,6,19,6,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-17,11,19,8,25
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-17,8,19,5,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-18,16,17,10,5
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-18,16,19,8,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-19,40,7,8,13
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-19,51,13,11,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-20,10,19,4,14
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-20,5,22,2,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-21,,20,6,16
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-21,15,21,6,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-22,60,22,10,4
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-22,42,16,12,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-23,64,17,10,14
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-23,54,21,12,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-24,17,17,7,8
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-24,14,19,7,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-25,12,19,6,3
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-25,11,22,5,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-26,14,20,5,2
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-26,9,22,5,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-27,40,21,8,3
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-27,22,17,10,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-28,97,22,11,12
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-28,39,21,10,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-29,88,22,10,12
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-29,68,23,10,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-30,22,20,10,5
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-30,24,22,10,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-01-31,29,18,10,10
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-01-31,28,21,10,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-01,54,20,10,7
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-01,40,21,12,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-02,33,11,9,5
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-02,37,13,11,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-03,21,18,7,15
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-03,27,22,6,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-04,10,21,5,12
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-04,9,21,4,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-05,9,20,4,15
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-05,8,19,2,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-06,16,19,10,21
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-06,10,22,7,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-07,19,20,8,63
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-07,10,22,7,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-08,15,20,10,9
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-08,8,23,5,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-09,9,20,4,5
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-09,6,21,4,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-10,15,18,6,19
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-10,13,21,4,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-11,25,21,9,21
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-11,17,25,8,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-12,26,20,8,15
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-12,14,23,3,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-13,25,18,9,6
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-13,11,19,9,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-14,26,16,9,5
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-14,23,16,13,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-15,5,18,4,5
